Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2020);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
80;11600153461;"Journal of Island and Coastal Archaeology";journal;"15561828, 15564894";0,920;Q1;30;69;104;5293;193;97;1,77;76,71;United Kingdom;Western Europe;"Routledge";"2006-2020";"Archeology (Q1); Archeology (arts and humanities) (Q1); Ecology (Q1); History (Q1); Oceanography (Q1)"
81;21017;"Bird Conservation International";journal;"09592709, 14740001";0,910;Q1;42;86;139;5071;342;132;2,34;58,97;United Kingdom;Western Europe;"Cambridge University Press";"1991-2020";"Animal Science and Zoology (Q1); Ecology (Q1); Nature and Landscape Conservation (Q1)"
82;19900193691;"Journal of Political Ecology";journal;"10730451";0,899;Q1;23;55;143;4815;318;143;1,90;87,55;United States;Northern America;"Bureau of Applied Research in Anthropology";"2011-2020";"Ecology (Q1); Geography, Planning and Development (Q1); Political Science and International Relations (Q1)"
83;21100788294;"Plants";journal;"22237747";0,892;Q1;32;1793;775;121230;3247;769;3,90;67,61;Switzerland;Western Europe;"MDPI Multidisciplinary Digital Publishing Institute";"2012-2020";"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Plant Science (Q1)"
84;21478;"Environmental Management";journal;"0364152X, 14321009";0,886;Q1;118;145;440;10379;1421;438;3,20;71,58;United States;Northern America;"Springer New York";"1976-2020";"Ecology (Q1); Pollution (Q1); Global and Planetary Change (Q2)"
85;29034;"Aquatic Sciences";journal;"14209055, 10151621";0,881;Q1;73;82;189;6035;513;189;2,57;73,60;Switzerland;Western Europe;"Birkhauser Verlag Basel";"1982, 1989-2020";"Aquatic Science (Q1); Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Water Science and Technology (Q1)"
86;21100870585;"Environmental Sociology";journal;"23251042";0,881;Q1;16;34;117;2408;307;111;2,70;70,82;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2015-2020";"Ecology (Q1); Geography, Planning and Development (Q1); Sociology and Political Science (Q1); Management, Monitoring, Policy and Law (Q2)"
87;21100464918;"NeoBiota";journal;"16190033, 13142488";0,881;Q1;18;80;101;6084;341;99;3,42;76,05;Bulgaria;Eastern Europe;"Pensoft Publishers";"2015-2020";"Animal Science and Zoology (Q1); Aquatic Science (Q1); Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Insect Science (Q1); Plant Science (Q1); Ecological Modeling (Q2)"
88;29635;"Journal of Plankton Research";journal;"14643774, 01427873";0,870;Q1;93;63;208;3874;477;202;2,06;61,49;United Kingdom;Western Europe;"Oxford University Press";"1979-2020";"Aquatic Science (Q1); Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)"
89;19700188237;"Journal of Biological Dynamics";journal;"17513766, 17513758";0,867;Q1;32;51;139;1685;400;137;2,50;33,04;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2007-2020";"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)"
